# cam_id width height fx fy cx cy k1 k2 p1 p2 cam_name qvecw qvecx qvecy qvecz tvecx tvecy tvecz
15 1280 720 1085.5866044906918 1082.1754874201145 631.0592088699606 326.832326918535 -0.4297941397053607 0.2102794400333581 0.003079073391820404 0.001343673447323637 brics-sbc-009_cam1 -0.044223691754959514 0.8829050031348997 -0.0390278894286892 0.4658324209130009 -0.6726578974752582 0.4541678267652329 0.45887283752052294
16 1280 720 1052.2944550727386 1048.8125994600316 645.4948466130245 362.4721142772771 -0.40121138852580623 0.1421995989820361 -0.0011081599080534793 0.0020266070058533774 brics-sbc-010_cam0 -0.0710791764931753 0.7143070479005744 -0.04084991153910751 0.6950140118845558 -0.5152423523745927 0.46561484698894606 0.011233874966552784
17 1280 720 1091.1927559362462 1086.799184765474 650.742235214915 350.6174224767726 -0.41595200263861387 0.17372402479458027 0.0018639323192147059 0.0007013504684220346 brics-sbc-010_cam1 -0.027528819857154937 0.4752004272428655 -0.02992545324631 0.8789375320655464 -0.1375748831238017 0.49729618316711166 -0.11251678407568605
18 1280 720 1080.4400138701749 1084.8692865439268 647.9314047092498 287.7962882966808 -0.4133660356260806 0.17673238351722717 -5.902646715937803e-05 0.0003129564529886494 brics-sbc-011_cam0 -0.1754455977427892 0.9575183897503609 0.05533800707031241 0.22206999008429187 -0.718814844012911 0.40075589341966705 0.9544464209957796
19 1280 720 1070.0085094674955 1061.789102057513 636.3021880049994 319.5855708072935 -0.41970755836541135 0.18022171279587107 0.0046327067602145765 0.008584918074222311 brics-sbc-012_cam0 -0.2907952205224637 0.946202725091871 0.046108589201271484 -0.13421080713518296 -0.5255625720174282 0.002134662304842633 1.3662289724423713
20 1280 720 1075.9401625466344 1075.708128137443 640.8152695657676 329.6231369312865 -0.3847266736457083 0.1271567909828884 0.0028590406983546967 -0.0008822503314296862 brics-sbc-012_cam1 -0.3113145439528049 0.9488015162628393 0.05034436626845372 -0.01801061480966351 -0.5087502742540845 0.021095036266689342 1.2355735533219925
21 1280 720 1056.2033770907747 1049.7636217320573 626.8094021200932 368.04778293660314 -0.4070915500554516 0.16910399865545242 -0.0026488488672656027 -4.9388200885393595e-05 brics-sbc-013_cam0 0.2868213508410915 0.9477905033150344 0.02551296796377998 -0.13702468023390701 -0.2684796913824458 0.7003660970879965 0.7733778288204647
22 1280 720 1090.14314983727 1092.3770729504283 666.8059780168782 366.6322321412296 -0.4055521367655354 0.16313991805364017 -0.0010640122842670268 0.00041881781858733717 brics-sbc-013_cam1 0.22445859527225626 0.9499765334704801 -0.03674743038235829 0.21403866759094933 -0.5220396855668914 0.5823820455359109 0.6035822785479987
23 1280 720 1050.2034715539437 1051.9743899069176 650.1603398418176 359.654662906196 -0.3945353175268292 0.1544973071815479 -0.0010740794153423104 0.0015946672169070135 brics-sbc-014_cam0 0.20279621905089665 0.9455376093617736 0.046728365723876494 -0.2502973884359532 -0.30739162501098416 0.5673411223257425 1.0757144726013648
24 1280 720 1065.7333262380391 1061.6983406042893 646.1079559401265 317.6467641026971 -0.406854006059296 0.17690451218724784 0.004925398374154366 -8.670650782194588e-05 brics-sbc-014_cam1 -0.03401446664551894 0.9667501074261481 0.0037712872496046155 -0.25342261785963976 -0.23921853349765382 0.40923949024960976 1.2493353726392866
